id,name,name_local,type,closed_year,continent,country,city,address,latitude,longitude,phone,services
store-lego-store-marion,LEGO® Store Marion,,official,,Oceania,Australia,Adelaide,"Westfield, 297 Diagonal Rd, Oaklands Park, Adelaide 5046, Australia",-34.92818,138.59993,(08) 8375 8901,bam;pab
store-lego-store-westfield-tea-tree-plaza,LEGO® Store Westfield Tea Tree Plaza,,official,,Oceania,Australia,Adelaide,"976 North East Road, Level 2, Shop 161, Modbury, SA 5092, Australia",-34.92818,138.59993,08 8375 8902,bam;pab
store-lego-store-brisbane-airport-international-terminal-bne-duty-free,LEGO Store Brisbane Airport International Terminal (BNE Duty Free),,official,,Oceania,Australia,Brisbane,"Brisbane Airport, International Terminal, Airport Drive, Brisbane Airport 4008, Australia",-27.46896,153.0235,,
store-lego-store-brisbane-bne-domestic,LEGO® Store Brisbane - BNE - Domestic,,official,,Oceania,Australia,Brisbane,"Brisbane Airport, Domestic Terminal, Airport Drive, Brisbane Airport 4008, Australia",-27.46896,153.0235,,
store-lego-store-chermside,LEGO® Store Chermside,,official,,Oceania,Australia,Brisbane,"Shop/380A Gympie Rd., Chermside 4032, Australia",-27.46896,153.0235,(07) 5554 9402,bam;pab
store-lego-store-canberra,LEGO® Store Canberra,,official,,Oceania,Australia,Canberra,"Shop CG18-CG21, Ground Level, Canberra Centre, 148 Bunda Street, Canberra ACT 2601, Australia",-35.29759,149.10127,(02) 6246 6801,bam;pab
store-lego-store-dreamworld,LEGO® Store Dreamworld,,official,,Oceania,Australia,Gold Coast,"1 Dreamworld Pkwy,, Gold coast 4209, Australia",-28.00237,153.4146,(07) 5588 1111,bam;pab
store-lego-store-robina,LEGO® Store Robina,,official,,Oceania,Australia,Gold Coast,"4067, Robina Town Centre Dr., Robina 4226, Australia",-28.00237,153.4146,(07) 5554 9401,bam;pab
store-lego-store-hobart,LEGO® Store Hobart,,official,,Oceania,Australia,Hobart,"38 Elizabeth St, Hobart TAS7000, Australia",-42.88251,147.32812,(03) 62408577,bam;pab
store-lego-store-melbourne-airport-mel-airport-store,LEGO Store Melbourne Airport - MEL,,official,,Oceania,Australia,Melbourne,"Melbourne Airport, Departure Drive, Melbourne Airport 3045, Australia",-37.81425,144.96317,,
store-lego-store-doncaster,LEGO® Store Doncaster,,closed,2026,Oceania,Australia,Melbourne,"619 Doncaster Road, Doncaster VIC 3108, Australia",-37.81425,144.96317,(03) 8398 9191,bam;pab
